Tag_ID,GermVisit_1,GermVisit_2,GermVisit_3,GermVisit_4,Height
ANGE_1,0,0,0,0,0.000
ANGE_2,0,0,0,0,0.000
ANGE_3,0,1,1,1,32.416
ANGE_4,1,1,1,1,27.780
ANGE_5,0,0,1,1,10.380
ANGE_6,0,1,1,1,13.706
ANGE_7,0,1,1,1,18.681
ANGE_8,0,0,0,1,11.774
ANGE_9,1,1,1,1,27.000
ANGE_10,0,1,1,1,26.916
ANGE_11,0,0,0,0,0.000
ANGE_12,1,1,1,1,28.488
ANGE_13,0,0,0,0,0.000
ANGE_14,0,0,1,1,22.594
ANGE_15,0,0,0,0,0.000
ANGE_16,1,1,1,1,17.526
ANGE_17,0,0,0,0,0.000
ANGE_18,0,1,1,1,17.027
ANGE_19,0,0,1,1,21.658
ANGE_20,0,0,0,1,20.077
ANGE_21,0,1,1,1,22.336
ANGE_22,0,0,1,1,26.298
ANGE_23,0,0,0,0,0.000
ANGE_24,0,0,0,1,33.950
ANGE_25,0,0,1,1,22.181
ANGE_26,0,0,0,0,0.000
ANGE_27,0,0,1,1,22.398
ANGE_28,0,0,0,1,17.214
ANGE_29,0,0,0,0,0.000
ANGE_30,1,1,1,1,21.567
ANGE_31,0,1,1,1,23.991
ANGE_32,0,0,0,0,0.000
ANGE_33,0,1,1,1,24.305
ANGE_34,0,1,1,1,26.943
ANGE_35,0,0,0,0,0.000
ANGE_36,1,1,1,1,32.566
ANGE_37,1,1,1,1,29.002
ANGE_38,0,0,0,1,21.000
ANGE_39,0,1,1,1,29.300
ANGE_40,0,0,0,1,23.437
ANGE_41,0,0,0,0,0.000
ANGE_42,0,1,1,1,17.214
ANGE_43,0,0,0,0,0.000
ANGE_44,0,0,0,0,0.000
ANGE_45,1,1,1,1,29.081
ANGE_46,0,1,1,1,29.967
ANGE_47,0,0,0,0,0.000
ANGE_48,1,1,1,1,23.124
BOGR_49,0,1,1,1,15.094
BOGR_50,0,0,0,0,0.000
BOGR_51,1,1,1,1,15.521
BOGR_52,0,1,1,1,10.925
BOGR_53,0,0,0,1,13.130
BOGR_54,1,1,1,1,15.187
BOGR_55,1,1,1,1,14.345
BOGR_56,0,0,0,0,0.000
BOGR_57,0,0,1,1,14.533
BOGR_58,0,0,0,0,0.000
BOGR_59,0,0,0,1,14.247
BOGR_60,1,1,1,1,16.151
BOGR_61,0,1,1,1,14.026
BOGR_62,0,0,0,1,5.267
BOGR_63,0,0,0,0,0.000
BOGR_64,0,1,1,1,15.696
BOGR_65,0,0,0,1,11.717
BOGR_66,0,1,1,1,14.577
BOGR_67,0,0,1,1,16.282
BOGR_68,0,0,0,0,0.000
BOGR_69,0,1,1,1,16.867
BOGR_70,0,0,0,1,11.823
BOGR_71,0,0,0,0,0.000
BOGR_72,0,0,0,1,14.367
BOGR_73,1,1,1,1,17.449
BOGR_74,0,0,0,1,9.365
BOGR_75,0,1,1,1,17.384
BOGR_76,0,0,0,0,0.000
BOGR_77,0,0,0,1,12.301
BOGR_78,1,1,1,1,12.580
BOGR_79,0,0,0,0,0.000
BOGR_80,0,0,0,0,0.000
BOGR_81,0,1,1,1,13.327
BOGR_82,0,0,1,1,12.946
BOGR_83,0,0,0,1,11.472
BOGR_84,0,1,1,1,12.352
BOGR_85,1,1,1,1,16.279
BOGR_86,0,0,0,0,0.000
BOGR_87,1,1,1,1,16.325
BOGR_88,1,1,1,1,12.576
BOGR_89,0,0,0,1,14.134
BOGR_90,0,0,0,0,0.000
BOGR_91,0,1,1,1,9.596
BOGR_92,0,0,0,1,3.629
BOGR_93,0,1,1,1,10.092
BOGR_94,0,0,0,1,14.614
BOGR_95,0,0,0,1,10.970
BOGR_96,0,1,1,1,11.111
BUDA_97,1,1,1,1,5.710
BUDA_98,0,0,0,1,4.603
BUDA_99,1,1,1,1,6.048
BUDA_100,0,0,0,1,7.383
BUDA_101,0,0,0,0,0.000
BUDA_102,0,1,1,1,9.843
BUDA_103,1,1,1,1,9.810
BUDA_104,0,0,1,1,2.619
BUDA_105,1,1,1,1,10.151
BUDA_106,0,0,0,1,6.522
BUDA_107,0,0,0,1,5.508
BUDA_108,0,1,1,1,7.819
BUDA_109,0,1,1,1,7.288
BUDA_110,0,0,0,0,0.000
BUDA_111,0,1,1,1,7.636
BUDA_112,0,0,1,1,6.813
BUDA_113,0,0,0,1,6.408
BUDA_114,0,1,1,1,7.285
BUDA_115,0,0,1,1,9.311
BUDA_116,0,0,0,0,0.000
BUDA_117,0,1,1,1,9.792
BUDA_118,1,1,1,1,5.838
BUDA_119,0,0,0,0,0.000
BUDA_120,0,1,1,1,7.210
BUDA_121,0,0,1,1,7.065
BUDA_122,0,0,0,1,1.760
BUDA_123,0,1,1,1,7.423
BUDA_124,0,0,0,0,0.000
BUDA_125,0,0,0,0,0.000
BUDA_126,1,1,1,1,8.239
BUDA_127,1,1,1,1,8.869
BUDA_128,1,1,1,1,2.425
BUDA_129,1,1,1,1,9.328
BUDA_130,1,1,1,1,4.580
BUDA_131,1,1,1,1,7.279
BUDA_132,0,1,1,1,11.925
BUDA_133,0,0,1,1,10.120
BUDA_134,0,0,0,0,0.000
BUDA_135,0,1,1,1,10.919
BUDA_136,0,0,1,1,7.933
BUDA_137,0,0,0,0,0.000
BUDA_138,0,0,0,1,6.450
BUDA_139,0,0,0,0,0.000
BUDA_140,0,0,1,1,1.975
BUDA_141,0,0,0,0,0.000
BUDA_142,0,0,1,1,6.524
BUDA_143,0,0,0,1,4.895
BUDA_144,1,1,1,1,8.558